Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec    0   1.32 MBytes       
[  5] 135.00-136.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[  5] 136.00-137.00 sec  0.00 Bytes  0.00 bits/sec    0   1.55 MBytes       
[  5] 137.00-138.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.69 MBytes       
[  5] 138.00-139.00 sec  0.00 Bytes  0.00 bits/sec    0   1.83 MBytes       
[  5] 139.00-140.00 sec  1.25 MBytes  10.5 Mbits/sec    0   2.07 MBytes       
[  5] 140.00-141.00 sec  0.00 Bytes  0.00 bits/sec    0   2.29 MBytes       
[  5] 141.00-142.00 sec  1.13 MBytes  9.51 Mbits/sec    0   2.52 MBytes       
[  5] 142.00-143.00 sec  1.02 MBytes  8.56 Mbits/sec    0   2.85 MBytes       
[  5] 143.00-144.00 sec  0.00 Bytes  0.00 bits/sec    0   3.19 MBytes       
[  5] 144.00-145.00 sec  1.24 MBytes  10.4 Mbits/sec    0   3.53 MBytes       
[  5] 145.00-146.00 sec  0.00 Bytes  0.00 bits/sec    0   3.82 MBytes       
[  5] 146.00-147.00 sec  1.22 MBytes  10.3 Mbits/sec   96   2.46 MBytes       
[  5] 147.00-148.00 sec  0.00 Bytes  0.00 bits/sec   16   1.63 MBytes       
[  5] 148.00-149.00 sec  0.00 Bytes  0.00 bits/sec  206   1.14 MBytes       
[  5] 149.00-150.00 sec  1.25 MBytes  10.5 Mbits/sec  269   1.86 MBytes       
[  5] 150.00-151.00 sec  1.25 MBytes  10.5 Mbits/sec    0   2.85 MBytes       
[  5] 151.00-152.00 sec  1.25 MBytes  10.5 Mbits/sec    1   1.69 MBytes       
[  5] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec    0   1.69 MBytes       
[  5] 153.00-154.00 sec  0.00 Bytes  0.00 bits/sec    0   1.55 MBytes       
[  5] 154.00-155.00 sec  1.25 MBytes  10.5 Mbits/sec  209   1.32 MBytes       
